id,company_name,industry,segment,status,website,arr,mrr,health_score,nps,open_cases,employee_count,owner,executive_sponsor,primary_contact,primary_contact_email,customer_since,renewal_date,last_qbr,headquarters,region,country,churn_risk,onboarding_status,support_tier
C001,Pinnacle Industries,Manufacturing,enterprise,active,pinnacle.com,890000,74167,28,15,5,12000,Sarah Chen,Robert Kim,Helen Park,helen@pinnacle.com,2021-03-01,2026-05-07,2025-10-15,Detroit MI,Central,US,critical,completed,enterprise
C002,Meridian Technologies,Technology,enterprise,active,meridian.tech,480000,40000,34,28,3,2500,Sarah Chen,Mike Rodriguez,John Smith,john@meridian.tech,2023-01-15,2026-05-22,2026-01-07,San Francisco CA,West,US,high,completed,premium
C003,NovaTech Solutions,Technology,mid-market,active,novatech.io,220000,18333,41,35,2,650,David Park,Lisa Wong,Alex Rivera,alex@novatech.io,2023-08-01,2026-09-15,2026-02-10,Austin TX,South,US,high,completed,premium
C004,GlobalSync Partners,Logistics,enterprise,active,globalsync.com,340000,28333,52,55,1,1800,Maria Garcia,James Wilson,David Park,david@globalsync.com,2022-11-01,2026-10-01,2025-12-20,Chicago IL,Central,US,medium,completed,standard
C005,Cobalt Systems,Healthcare,mid-market,active,cobalt.health,150000,12500,45,40,2,420,Chris Lee,Susan Taylor,Marie Chen,marie@cobalt.health,2025-08-01,2026-08-01,NA,Boston MA,East,US,medium,in_progress,standard
C006,Contoso Ltd,Finance,enterprise,active,contoso.com,920000,76667,92,55,1,8000,Maria Garcia,James Wilson,Tom Brown,tom@contoso.com,2021-11-01,2027-01-01,2026-02-28,Chicago IL,Central,US,low,completed,enterprise
C007,Stark Industries,Defense,enterprise,active,stark.com,2000000,166667,95,60,0,30000,Sarah Chen,Pepper Potts,Happy Hogan,happy@stark.com,2019-08-15,2026-08-15,2026-03-25,Los Angeles CA,West,US,low,completed,enterprise
C008,Wayne Enterprises,Diversified,enterprise,active,wayne.com,1500000,125000,88,52,2,25000,Maria Garcia,Lucius Fox,Alfred Penn,alfred@wayne.com,2021-03-01,2026-11-01,2026-02-15,Gotham NY,East,US,low,completed,enterprise
C009,Umbrella Corp,Biotech,enterprise,active,umbrella.bio,1200000,100000,86,48,2,15000,Maria Garcia,Albert Wesker,Ada Wong,ada@umbrella.bio,2020-04-01,2026-10-01,2026-03-20,Zurich,EMEA,CH,low,completed,enterprise
C010,Massive Dynamic,Conglomerate,enterprise,active,massivedynamic.com,1800000,150000,91,52,1,20000,Maria Garcia,Nina Sharp,Brandon Fayette,brandon@massivedynamic.com,2021-06-01,2026-12-01,2026-03-18,New York NY,East,US,low,completed,enterprise
C011,Weyland Corp,Aerospace,enterprise,active,weyland.com,3000000,250000,84,45,3,50000,Maria Garcia,Peter Weyland,David Bishop,david@weyland.com,2020-10-01,2026-10-01,2026-03-22,London,EMEA,UK,low,completed,enterprise
C012,Acme Corp,Manufacturing,enterprise,active,acme.com,480000,40000,87,42,2,2500,Sarah Chen,Mike Rodriguez,Jane Doe,jane@acme.com,2023-01-15,2026-06-01,2026-03-15,San Francisco CA,West,US,low,completed,premium
C013,Cyberdyne Systems,AI,mid-market,active,cyberdyne.ai,250000,20833,75,40,1,800,Sarah Chen,Miles Dyson,Sarah Connor,sarah@cyberdyne.ai,2024-01-20,2026-07-20,2026-03-10,Palo Alto CA,West,US,low,completed,premium
C014,Hooli,Technology,mid-market,active,hooli.com,400000,33333,78,38,2,3000,David Park,Gavin Belson,Big Head,bighead@hooli.com,2023-11-01,2026-11-01,2026-03-05,San Francisco CA,West,US,low,completed,premium
C015,Fabrikam Inc,Healthcare,mid-market,active,fabrikam.com,200000,16667,72,38,3,1200,David Park,Susan Taylor,Rachel Green,rachel@fabrikam.com,2024-07-15,2026-12-15,2026-03-01,Boston MA,East,US,low,completed,premium
C016,Globex Industries,Technology,mid-market,active,globex.io,120000,10000,68,32,3,400,David Park,Lisa Wong,Amy Lee,amy@globex.io,2024-03-01,2026-09-01,2026-01-20,Austin TX,South,US,low,completed,standard
C017,Tyrell Corp,Biotech,mid-market,active,tyrell.com,300000,25000,70,30,2,1500,Chris Lee,Eldon Tyrell,Rachael Rosen,rachael@tyrell.com,2023-05-15,2026-05-15,2026-01-15,San Jose CA,West,US,low,completed,standard
C018,Dunder Mifflin,Paper,smb,active,dundermifflin.com,85000,7083,76,40,1,200,David Park,Michael Scott,Jim Halpert,jim@dundermifflin.com,2024-04-01,2026-10-01,2026-01-25,Scranton PA,East,US,low,completed,standard
C019,Pied Piper,Technology,startup,active,piedpiper.com,35000,2917,82,50,0,25,Chris Lee,Richard Hendricks,Dinesh Chugtai,dinesh@piedpiper.com,2025-06-01,2026-06-01,NA,Palo Alto CA,West,US,low,completed,basic
C020,Soylent Corp,Food Tech,smb,active,soylent.co,60000,5000,73,32,1,150,David Park,Sol Roth,Sol Roth,sol@soylent.co,2025-02-01,2027-02-01,2026-02-01,Portland OR,West,US,low,completed,basic
