id,name,category,website,status,annual_spend,on_time_delivery_rate,defect_rate,open_pos,avg_lead_time_days,account_manager,primary_contact_name,primary_contact_email,contract_start,contract_end,last_review_date,headquarters,country,region,strategic_importance,risk_level,approval_status,payment_terms,compliance_status
V001,CloudHost Inc,Cloud Infrastructure,cloudhost.com,active,580000,99.5,0.1,3,1,Tom Richards,Alex Kumar,alex@cloudhost.com,2024-01-01,2027-01-01,2026-03-01,Seattle WA,US,West,critical,low,approved,Net 30,compliant
V002,DataPipe Analytics,Data Analytics,datapipe.io,active,96000,98,0.5,1,3,Tom Richards,Priya Singh,priya@datapipe.io,2025-01-01,2027-01-01,2026-02-15,San Francisco CA,US,West,important,low,approved,Net 30,compliant
V003,SecureNet Solutions,Security,securenet.com,active,140000,97,0.2,2,5,Emily Zhang,Marcus Johnson,marcus@securenet.com,2024-06-01,2026-06-01,2026-03-15,Washington DC,US,East,critical,low,approved,Net 45,compliant
V004,TalentForce HR,HR Software,talentforce.com,active,19440,99,0.3,1,1,Emily Zhang,Sarah Kim,sarah@talentforce.com,2025-01-01,2027-01-01,2026-01-15,Austin TX,US,South,standard,low,approved,Net 30,compliant
V005,LogiShip Partners,Logistics,logiship.com,active,54000,94,1.2,2,7,Tom Richards,Dave Wilson,dave@logiship.com,2024-03-01,2026-03-01,2026-02-28,Memphis TN,US,South,important,medium,approved,Net 30,compliant
V006,PrintCo Supply,Office Supplies,printco.com,active,8500,92,2.0,1,10,Emily Zhang,Karen White,karen@printco.com,2025-06-01,2026-06-01,NA,Dallas TX,US,South,replaceable,low,approved,Net 15,compliant
V007,LegalEagle LLP,Legal Services,legaleagle.com,active,120000,100,0,0,14,Emily Zhang,Patricia Moore,patricia@legaleagle.com,2023-01-01,2026-12-31,2026-03-10,New York NY,US,East,important,low,approved,Net 60,compliant
V008,CyberGuard Pro,Cybersecurity,cyberguard.pro,active,65000,96,0.4,1,3,Tom Richards,Jake Martinez,jake@cyberguard.pro,2024-09-01,2026-09-01,2026-02-20,Denver CO,US,West,critical,low,approved,Net 30,compliant
V009,OfficeSpace Realty,Real Estate,officespace.co,active,240000,100,0,0,30,Emily Zhang,Monica Hall,monica@officespace.co,2022-01-01,2027-01-01,2026-01-10,San Francisco CA,US,West,standard,low,approved,Monthly,compliant
V010,GreenPower Energy,Utilities,greenpower.com,active,36000,99,0.1,0,1,Tom Richards,Eric Schmidt,eric@greenpower.com,2024-01-01,2027-01-01,2026-03-01,Portland OR,US,West,standard,low,approved,Monthly,compliant
